# target_eff = min(0.80, fp16_efficiency * 0.90)  (requirements.md §1.1)
# status buckets: on_track (cuda_eff >= target), gap_small (<20pp), gap_large (>=20pp), physics_loss
# Summary: gap_large=95, gap_small=4, on_track=1
model,proj,T,d_in,d_out,cuda_eff,fp16_eff,target_eff,gap_pp,status,primary_bottleneck,nearest_rep_tag,audit_ref
Qwen3-1.7B,gate_up_proj,8,2048,12288,0.5750,2.8416,0.8000,+22.50,gap_large,launch_sparse,decode_T1_q_2048_2048,
Qwen3-1.7B,gate_up_proj,128,2048,12288,0.3767,1.3486,0.8000,+42.33,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-1.7B,gate_up_proj,512,2048,12288,0.3188,1.1694,0.8000,+48.12,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-1.7B,gate_up_proj,1024,2048,12288,0.3342,1.1208,0.8000,+46.58,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-1.7B,down_proj,1,6144,2048,0.3759,0.9816,0.8000,+42.41,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-1.7B,down_proj,8,6144,2048,0.1210,2.4191,0.8000,+67.90,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-1.7B,down_proj,128,6144,2048,0.1246,1.2916,0.8000,+67.54,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-1.7B,down_proj,512,6144,2048,0.2693,1.1758,0.8000,+53.07,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-1.7B,down_proj,1024,6144,2048,0.3972,1.1567,0.8000,+40.28,gap_large,tc_underutil,prefill_T1024_down_3072_1024,
Qwen3-4B,q_proj,1,2560,4096,0.4930,0.9908,0.8000,+30.70,gap_large,launch_sparse,decode_T1_q_2048_2048,
Qwen3-4B,q_proj,8,2560,4096,0.2162,2.0446,0.8000,+58.38,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,q_proj,128,2560,4096,0.1910,1.3153,0.8000,+60.90,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-4B,q_proj,512,2560,4096,0.3188,1.0497,0.8000,+48.12,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-4B,q_proj,1024,2560,4096,0.3386,1.0651,0.8000,+46.14,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-4B,kv_proj,1,2560,2048,0.3257,1.2370,0.8000,+47.43,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-4B,kv_proj,8,2560,2048,0.1097,1.0280,0.8000,+69.03,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,kv_proj,128,2560,2048,0.1097,0.9351,0.8000,+69.03,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-4B,kv_proj,512,2560,2048,0.2247,1.1103,0.8000,+57.53,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-4B,kv_proj,1024,2560,2048,0.3652,1.0504,0.8000,+43.48,gap_large,tc_underutil,prefill_T1024_down_3072_1024,
Qwen3-4B,o_proj,1,4096,2560,0.4010,1.0101,0.8000,+39.90,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-4B,o_proj,8,4096,2560,0.1435,2.0342,0.8000,+65.65,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,o_proj,128,4096,2560,0.1391,1.1475,0.8000,+66.09,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-4B,o_proj,512,4096,2560,0.2602,1.0311,0.8000,+53.98,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,o_proj,1024,4096,2560,0.2807,1.0748,0.8000,+51.93,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-4B,gate_up_proj,1,2560,19456,0.6298,1.0953,0.8000,+17.02,gap_small,tc_underutil,large_T1024_gu_4096_24576,audit_launch_tax/launch_tax_audit.md
Qwen3-4B,gate_up_proj,8,2560,19456,0.6295,1.0102,0.8000,+17.05,gap_small,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-4B,gate_up_proj,128,2560,19456,0.3168,0.9022,0.8000,+48.32,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-4B,gate_up_proj,512,2560,19456,0.3234,0.9678,0.8000,+47.66,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-4B,gate_up_proj,1024,2560,19456,0.3400,1.0681,0.8000,+46.00,gap_large,tc_underutil,prefill_T512_gu_2048_12288,
Qwen3-4B,down_proj,1,9728,2560,0.4033,1.0450,0.8000,+39.67,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,down_proj,8,9728,2560,0.1350,2.9335,0.8000,+66.50,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,down_proj,128,9728,2560,0.1350,1.3603,0.8000,+66.50,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,down_proj,512,9728,2560,0.2925,0.9805,0.8000,+50.75,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-4B,down_proj,1024,9728,2560,0.3004,1.0962,0.8000,+49.96,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,q_proj,1,4096,4096,0.5519,1.0212,0.8000,+24.81,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-8B,q_proj,8,4096,4096,0.2223,2.6890,0.8000,+57.77,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,q_proj,128,4096,4096,0.2134,1.3447,0.8000,+58.66,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,q_proj,512,4096,4096,0.3557,1.0636,0.8000,+44.43,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,q_proj,1024,4096,4096,0.3837,1.1508,0.8000,+41.63,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,kv_proj,1,4096,2048,0.3748,1.0201,0.8000,+42.52,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-8B,kv_proj,8,4096,2048,0.1178,1.6356,0.8000,+68.22,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,kv_proj,128,4096,2048,0.1227,1.1020,0.8000,+67.73,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-8B,kv_proj,512,4096,2048,0.2631,1.1520,0.8000,+53.69,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-8B,kv_proj,1024,4096,2048,0.3974,1.0644,0.8000,+40.26,gap_large,tc_underutil,prefill_T1024_down_3072_1024,
Qwen3-8B,o_proj,1,4096,4096,0.5511,1.6672,0.8000,+24.89,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-8B,o_proj,8,4096,4096,0.2220,2.6810,0.8000,+57.80,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,o_proj,128,4096,4096,0.2135,1.3464,0.8000,+58.65,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,o_proj,512,4096,4096,0.3558,1.0733,0.8000,+44.42,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,o_proj,1024,4096,4096,0.3837,1.1493,0.8000,+41.63,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,gate_up_proj,1,4096,24576,0.6545,1.1061,0.8000,+14.55,gap_small,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,gate_up_proj,8,4096,24576,0.9456,1.0640,0.8000,-14.56,on_track,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,gate_up_proj,128,4096,24576,0.3931,0.9235,0.8000,+40.69,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,gate_up_proj,512,4096,24576,0.3597,0.9777,0.8000,+44.03,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,gate_up_proj,1024,4096,24576,0.3709,1.0770,0.8000,+42.91,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,down_proj,1,12288,4096,0.5789,1.0714,0.8000,+22.11,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,down_proj,8,12288,4096,0.2224,0.9957,0.8000,+57.76,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,down_proj,128,12288,4096,0.1954,0.9144,0.8000,+60.46,gap_large,tc_underutil,worst_T8_q_4096_4096,
Qwen3-8B,down_proj,512,12288,4096,0.3629,1.0210,0.8000,+43.71,gap_large,tc_underutil,large_T1024_gu_4096_24576,
Qwen3-8B,down_proj,1024,12288,4096,0.3916,1.0262,0.8000,+40.84,gap_large,tc_underutil,large_T1024_gu_4096_24576,
