model,proj,T,d_in,d_out,cuda_eff,fp16_eff,roof_ratio,primary_bottleneck,cluster_id,nearest_rep_tag,feature_distance,audit_ref
Qwen3-1.7B,gate_up_proj,1024,2048,12288,0.3342,1.1208,0.2670,tc_underutil,1,prefill_T512_gu_2048_12288,0.3072,
Qwen3-1.7B,down_proj,1,6144,2048,0.3759,0.9816,0.2661,tc_underutil,1,worst_T8_q_4096_4096,1.9210,
Qwen3-1.7B,down_proj,8,6144,2048,0.1210,2.4191,0.2714,tc_underutil,1,worst_T8_q_4096_4096,1.4998,
Qwen3-1.7B,down_proj,128,6144,2048,0.1246,1.2916,0.3519,tc_underutil,1,mid_T128_kv_2560_2048,2.1083,
Qwen3-1.7B,down_proj,512,6144,2048,0.2693,1.1758,0.3514,tc_underutil,1,worst_T8_q_4096_4096,2.3877,
Qwen3-1.7B,down_proj,1024,6144,2048,0.3972,1.1567,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,2.5046,
Qwen3-4B,q_proj,1,2560,4096,0.4930,0.9908,0.2661,launch_sparse,0,decode_T1_q_2048_2048,1.5492,
Qwen3-4B,q_proj,8,2560,4096,0.2162,2.0446,0.2703,tc_underutil,1,worst_T8_q_4096_4096,1.1224,
Qwen3-4B,q_proj,128,2560,4096,0.1910,1.3153,0.3357,tc_underutil,1,mid_T128_kv_2560_2048,1.1267,
Qwen3-4B,q_proj,512,2560,4096,0.3188,1.0497,0.3007,tc_underutil,1,prefill_T512_gu_2048_12288,1.3211,
Qwen3-4B,q_proj,1024,2560,4096,0.3386,1.0651,0.3007,tc_underutil,1,prefill_T512_gu_2048_12288,1.3610,
Qwen3-4B,kv_proj,1,2560,2048,0.3257,1.2370,0.2663,tc_underutil,1,decode_T1_kv_2560_2048,0.0000,
Qwen3-4B,kv_proj,8,2560,2048,0.1097,1.0280,0.2728,tc_underutil,1,worst_T8_q_4096_4096,1.6643,
Qwen3-4B,kv_proj,128,2560,2048,0.1097,0.9351,0.3689,tc_underutil,1,mid_T128_kv_2560_2048,0.0000,
Qwen3-4B,kv_proj,512,2560,2048,0.2247,1.1103,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,1.2025,
Qwen3-4B,kv_proj,1024,2560,2048,0.3652,1.0504,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,1.8257,
Qwen3-4B,o_proj,1,4096,2560,0.4010,1.0101,0.2661,tc_underutil,1,decode_T1_kv_2560_2048,1.3299,
Qwen3-4B,o_proj,8,4096,2560,0.1435,2.0342,0.2709,tc_underutil,1,worst_T8_q_4096_4096,0.8521,
Qwen3-4B,o_proj,128,4096,2560,0.1391,1.1475,0.3447,tc_underutil,1,mid_T128_kv_2560_2048,1.2297,
Qwen3-4B,o_proj,512,4096,2560,0.2602,1.0311,0.3311,tc_underutil,1,worst_T8_q_4096_4096,1.9424,
Qwen3-4B,o_proj,1024,4096,2560,0.2807,1.0748,0.3311,tc_underutil,1,mid_T128_kv_2560_2048,2.1656,
Qwen3-4B,gate_up_proj,1,2560,19456,0.6298,1.0953,0.2659,tc_underutil,1,large_T1024_gu_4096_24576,3.5884,audit_launch_tax/launch_tax_audit.md
Qwen3-4B,gate_up_proj,8,2560,19456,0.6295,1.0102,0.2684,tc_underutil,1,large_T1024_gu_4096_24576,3.2078,
Qwen3-4B,gate_up_proj,128,2560,19456,0.3168,0.9022,0.3082,tc_underutil,1,prefill_T512_gu_2048_12288,1.0882,
Qwen3-4B,gate_up_proj,512,2560,19456,0.3234,0.9678,0.2607,tc_underutil,1,prefill_T512_gu_2048_12288,0.7096,
Qwen3-4B,gate_up_proj,1024,2560,19456,0.3400,1.0681,0.2607,tc_underutil,1,prefill_T512_gu_2048_12288,0.7833,
Qwen3-4B,down_proj,1,9728,2560,0.4033,1.0450,0.2660,tc_underutil,1,worst_T8_q_4096_4096,2.7391,
Qwen3-4B,down_proj,8,9728,2560,0.1350,2.9335,0.2701,tc_underutil,1,worst_T8_q_4096_4096,2.2580,
Qwen3-4B,down_proj,128,9728,2560,0.1350,1.3603,0.3335,tc_underutil,1,worst_T8_q_4096_4096,2.6751,
Qwen3-4B,down_proj,512,9728,2560,0.2925,0.9805,0.3311,tc_underutil,1,worst_T8_q_4096_4096,2.8836,
Qwen3-4B,down_proj,1024,9728,2560,0.3004,1.0962,0.3311,tc_underutil,1,worst_T8_q_4096_4096,3.0595,
Qwen3-8B,q_proj,1,4096,4096,0.5519,1.0212,0.2660,tc_underutil,1,decode_T1_kv_2560_2048,2.4298,
Qwen3-8B,q_proj,8,4096,4096,0.2223,2.6890,0.2695,tc_underutil,1,worst_T8_q_4096_4096,0.0000,
Qwen3-8B,q_proj,128,4096,4096,0.2134,1.3447,0.3240,tc_underutil,1,worst_T8_q_4096_4096,1.3429,
Qwen3-8B,q_proj,512,4096,4096,0.3557,1.0636,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,1.9219,
Qwen3-8B,q_proj,1024,4096,4096,0.3837,1.1508,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,1.9008,
Qwen3-8B,kv_proj,1,4096,2048,0.3748,1.0201,0.2662,tc_underutil,1,decode_T1_kv_2560_2048,1.2054,
Qwen3-8B,kv_proj,8,4096,2048,0.1178,1.6356,0.2719,tc_underutil,1,worst_T8_q_4096_4096,1.1698,
Qwen3-8B,kv_proj,128,4096,2048,0.1227,1.1020,0.3580,tc_underutil,1,mid_T128_kv_2560_2048,1.1391,
Qwen3-8B,kv_proj,512,4096,2048,0.2631,1.1520,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,1.8822,
Qwen3-8B,kv_proj,1024,4096,2048,0.3974,1.0644,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,2.0035,
Qwen3-8B,o_proj,1,4096,4096,0.5511,1.6672,0.2660,tc_underutil,1,decode_T1_kv_2560_2048,2.4235,
Qwen3-8B,o_proj,8,4096,4096,0.2220,2.6810,0.2695,tc_underutil,1,worst_T8_q_4096_4096,0.0027,
Qwen3-8B,o_proj,128,4096,4096,0.2135,1.3464,0.3240,tc_underutil,1,worst_T8_q_4096_4096,1.3429,
Qwen3-8B,o_proj,512,4096,4096,0.3558,1.0733,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,1.9218,
Qwen3-8B,o_proj,1024,4096,4096,0.3837,1.1493,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,1.9008,
Qwen3-8B,gate_up_proj,1,4096,24576,0.6545,1.1061,0.2658,tc_underutil,1,large_T1024_gu_4096_24576,3.5577,
Qwen3-8B,gate_up_proj,8,4096,24576,0.9456,1.0640,0.2675,tc_underutil,1,large_T1024_gu_4096_24576,5.5179,
Qwen3-8B,gate_up_proj,128,4096,24576,0.3931,0.9235,0.2940,tc_underutil,1,large_T1024_gu_4096_24576,1.0023,
Qwen3-8B,gate_up_proj,512,4096,24576,0.3597,0.9777,0.2585,tc_underutil,1,large_T1024_gu_4096_24576,0.2919,
Qwen3-8B,gate_up_proj,1024,4096,24576,0.3709,1.0770,0.2585,tc_underutil,1,large_T1024_gu_4096_24576,0.0000,
Qwen3-8B,down_proj,1,12288,4096,0.5789,1.0714,0.2659,tc_underutil,1,worst_T8_q_4096_4096,4.1936,
Qwen3-8B,down_proj,8,12288,4096,0.2224,0.9957,0.2685,tc_underutil,1,worst_T8_q_4096_4096,2.6206,
Qwen3-8B,down_proj,128,12288,4096,0.1954,0.9144,0.3105,tc_underutil,1,worst_T8_q_4096_4096,2.9025,
Qwen3-8B,down_proj,512,12288,4096,0.3629,1.0210,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,3.2477,
Qwen3-8B,down_proj,1024,12288,4096,0.3916,1.0262,0.3007,tc_underutil,1,large_T1024_gu_4096_24576,3.2407,
