model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-1.7B,q_proj,32,2048,2048,11.530876,10.096583,0.875613,mem,34.952321,0.193688,2.791858,2.985546,0.085418,mem,3.031194,0.295699
Qwen3-1.7B,q_proj,128,2048,2048,13.218241,11.014454,0.833277,mem,35.051520,0.774753,3.365528,4.140280,0.118120,mem,2.651754,0.375895
Qwen3-1.7B,q_proj,512,2048,2048,20.223675,30.586578,1.512414,compute,34.896319,3.099010,7.648960,10.747970,0.307997,compute,1.725518,0.351395
Qwen3-1.7B,q_proj,1024,2048,2048,48.878078,61.173156,1.251546,compute,50.449281,6.198021,15.297919,21.495940,0.426090,compute,1.032145,0.351395
Qwen3-1.7B,q_proj,2048,2048,2048,106.485767,122.346312,1.148945,compute,96.727037,12.396041,30.595838,42.991879,0.444466,compute,0.908356,0.351395
Qwen3-1.7B,kv_proj,1,2048,2048,11.059523,9.800187,0.886131,mem,7.456960,,2.610196,2.610196,0.350035,fused-mem,0.674257,0.266341
Qwen3-1.7B,kv_proj,8,2048,2048,11.707201,9.867115,0.842824,mem,35.002880,0.048422,2.648441,2.696863,0.077047,mem,2.989859,0.273318
Qwen3-1.7B,kv_proj,32,2048,2048,11.512003,10.096583,0.877048,mem,34.807360,0.193688,2.791858,2.985546,0.085773,mem,3.023571,0.295699
Qwen3-1.7B,kv_proj,128,2048,2048,13.189125,11.014454,0.835116,mem,34.979839,0.774753,3.365528,4.140280,0.118362,mem,2.652173,0.375895
Qwen3-1.7B,kv_proj,512,2048,2048,20.370560,30.586578,1.501509,compute,34.947200,3.099010,7.648960,10.747970,0.307549,compute,1.715574,0.351395
Qwen3-1.7B,kv_proj,1024,2048,2048,48.844795,61.173156,1.252399,compute,50.442238,6.198021,15.297919,21.495940,0.426150,compute,1.032704,0.351395
Qwen3-1.7B,kv_proj,2048,2048,2048,106.557436,122.346312,1.148172,compute,96.389122,12.396041,30.595838,42.991879,0.446024,compute,0.904574,0.351395
