model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-1.7B,o_proj,512,2048,2048,27.873280,30.586578,1.097344,compute,46.561279,3.099010,7.648960,10.747970,0.230835,compute,1.670463,0.351395
Qwen3-1.7B,o_proj,1024,2048,2048,55.971842,61.173156,1.092927,compute,61.900802,6.198021,15.297919,21.495940,0.347264,compute,1.105928,0.351395
Qwen3-1.7B,gate_up_proj,1,2048,12288,55.234561,58.777218,1.064138,mem,25.477121,,15.637274,15.637274,0.613777,fused-mem,0.461253,0.266043
Qwen3-1.7B,gate_up_proj,8,2048,12288,20.766721,59.011466,2.841636,mem,27.636480,0.048422,15.842838,15.891261,0.575010,mem,1.330806,0.269291
Qwen3-1.7B,gate_up_proj,128,2048,12288,46.736960,63.027152,1.348551,mem,53.629441,0.774753,19.428273,20.203025,0.376715,mem,1.147474,0.320545
Qwen3-1.7B,gate_up_proj,512,2048,12288,156.938238,183.519469,1.169374,compute,153.681917,3.099010,45.893758,48.992768,0.318793,compute,0.979251,0.266962
Qwen3-1.7B,gate_up_proj,1024,2048,12288,327.493439,367.038937,1.120752,compute,293.170242,6.198021,91.787515,97.985536,0.334227,compute,0.895194,0.266962
Qwen3-1.7B,down_proj,1,6144,2048,29.941759,29.390999,0.981606,mem,20.807681,,7.821027,7.821027,0.375872,fused-mem,0.694938,0.266103
Qwen3-1.7B,down_proj,8,6144,2048,12.205120,29.524855,2.419055,mem,66.222081,0.145229,7.868833,8.014062,0.121018,mem,5.425762,0.271434
Qwen3-1.7B,down_proj,128,6144,2048,24.635201,31.819533,1.291629,mem,89.866238,2.323660,8.872754,11.196415,0.124590,mem,3.647879,0.351872
Qwen3-1.7B,down_proj,512,6144,2048,78.038402,91.759734,1.175828,compute,119.744959,9.294641,22.946879,32.241519,0.269252,compute,1.534436,0.351369
Qwen3-1.7B,down_proj,1024,6144,2048,158.651524,183.519469,1.156746,compute,162.341766,18.589281,45.893758,64.483039,0.397205,compute,1.023260,0.351369
Qwen3-4B,q_proj,1,2560,4096,24.719999,24.492101,0.990781,mem,13.219841,,6.517124,6.517124,0.492981,fused-mem,0.534783,0.266091
Qwen3-4B,q_proj,8,2560,4096,12.032000,24.600859,2.044619,mem,30.758719,0.060523,6.590028,6.650551,0.216217,mem,2.556410,0.270338
Qwen3-4B,q_proj,128,2560,4096,20.121601,26.465285,1.315267,mem,46.528640,0.968366,7.916639,8.885005,0.190958,mem,2.312373,0.335723
Qwen3-4B,q_proj,512,2560,4096,72.847362,76.466445,1.049680,compute,72.130561,3.873464,19.122399,22.995863,0.318809,compute,0.990160,0.300731
Qwen3-4B,q_proj,1024,2560,4096,143.582401,152.932890,1.065123,compute,135.823364,7.746928,38.244798,45.991726,0.338614,compute,0.945961,0.300731
Qwen3-4B,kv_proj,1,2560,2048,9.902080,12.249038,1.237017,mem,10.014720,,3.261550,3.261550,0.325676,fused-mem,1.011375,0.266270
Qwen3-4B,kv_proj,8,2560,2048,11.988159,12.324332,1.028042,mem,30.648320,0.060523,3.300990,3.361513,0.109680,mem,2.556549,0.272754
Qwen3-4B,kv_proj,128,2560,2048,14.559680,13.615089,0.935123,mem,45.783038,0.968366,4.053931,5.022297,0.109698,mem,3.144508,0.368877
Qwen3-4B,kv_proj,512,2560,2048,34.435201,38.233223,1.110295,compute,59.799361,3.873464,9.561199,13.434664,0.224662,compute,1.736577,0.351387
Qwen3-4B,kv_proj,1024,2560,2048,72.797761,76.466445,1.050396,compute,73.565440,7.746928,19.122399,26.869327,0.365244,compute,1.010545,0.351387
Qwen3-4B,o_proj,1,4096,2560,24.248321,24.492101,1.010053,mem,16.250880,,6.517124,6.517124,0.401032,fused-mem,0.670186,0.266091
Qwen3-4B,o_proj,8,4096,2560,12.093440,24.600859,2.034232,mem,46.448641,0.096825,6.568515,6.665341,0.143499,mem,3.840813,0.270939
Qwen3-4B,o_proj,128,4096,2560,23.063681,26.465285,1.147487,mem,65.566721,1.549206,7.572437,9.121643,0.139120,mem,2.842856,0.344664
Qwen3-4B,o_proj,512,4096,2560,74.158082,76.466445,1.031128,compute,97.310724,6.196825,19.122399,25.319224,0.260189,compute,1.312207,0.331115
Qwen3-4B,o_proj,1024,4096,2560,142.286081,152.932890,1.074827,compute,180.432320,12.393651,38.244798,50.638449,0.280651,compute,1.268095,0.331115
Qwen3-4B,gate_up_proj,1,2560,19456,106.199036,116.315070,1.095255,mem,49.118080,,30.933931,30.933931,0.629787,fused-mem,0.462510,0.265949
Qwen3-4B,gate_up_proj,8,2560,19456,115.496635,116.674809,1.010201,mem,49.754238,0.060523,31.257815,31.318338,0.629461,mem,0.430785,0.268424
Qwen3-4B,gate_up_proj,128,2560,19456,136.151037,122.841755,0.902246,mem,119.480324,0.968366,36.886947,37.855313,0.316833,mem,0.877557,0.308163
Qwen3-4B,gate_up_proj,512,2560,19456,375.285759,363.215615,0.967837,compute,292.831039,3.873464,90.831395,94.704859,0.323411,compute,0.780288,0.260740
Qwen3-4B,gate_up_proj,1024,2560,19456,680.120316,726.431230,1.068092,compute,557.015038,7.746928,181.662790,189.409718,0.340044,compute,0.818995,0.260740
Qwen3-4B,down_proj,1,9728,2560,55.654402,58.160523,1.045030,mem,38.359039,,15.469953,15.469953,0.403294,fused-mem,0.689236,0.265987
Qwen3-4B,down_proj,8,9728,2560,19.894720,58.361307,2.933507,mem,116.814404,0.229935,15.534491,15.764426,0.134953,mem,5.871628,0.270118
Qwen3-4B,down_proj,128,9728,2560,45.434880,61.803324,1.360262,mem,152.729597,3.678954,16.932810,20.611765,0.134956,mem,3.361505,0.333506
Qwen3-4B,down_proj,512,9728,2560,185.213757,181.607807,0.980531,compute,205.544319,14.715817,45.415698,60.131515,0.292548,compute,1.109768,0.331106
Qwen3-4B,down_proj,1024,9728,2560,331.325455,363.215615,1.096250,compute,400.304947,29.431634,90.831395,120.263029,0.300429,compute,1.208193,0.331106
Qwen3-8B,q_proj,1,4096,4096,38.369279,39.181625,1.021172,mem,18.883520,,10.421662,10.421662,0.551892,fused-mem,0.492152,0.265983
Qwen3-8B,q_proj,8,4096,4096,14.621119,39.315481,2.688951,mem,47.656960,0.096825,10.498151,10.594977,0.222318,mem,3.259460,0.269486
Qwen3-8B,q_proj,128,4096,4096,30.943680,41.610159,1.344706,mem,63.170562,1.549206,11.932325,13.481531,0.213415,mem,2.041469,0.323996
Qwen3-8B,q_proj,512,4096,4096,115.025921,122.346312,1.063641,compute,103.433599,6.196825,30.595838,36.792664,0.355713,compute,0.899220,0.300726
Qwen3-8B,q_proj,1024,4096,4096,212.621765,244.692625,1.150835,compute,191.773129,12.393651,61.191677,73.585327,0.383710,compute,0.901945,0.300726
Qwen3-8B,kv_proj,1,4096,2048,19.208961,19.595593,1.020128,mem,13.916160,,5.215612,5.215612,0.374788,fused-mem,0.724462,0.266162
Qwen3-8B,kv_proj,8,4096,2048,12.042240,19.695985,1.635575,mem,45.465598,0.096825,5.258637,5.355462,0.117792,mem,3.775510,0.271906
Qwen3-8B,kv_proj,128,4096,2048,19.434561,21.416993,1.102006,mem,62.473602,1.549206,6.119141,7.668347,0.122745,mem,3.214562,0.358050
Qwen3-8B,kv_proj,512,4096,2048,53.103042,61.173156,1.151971,compute,81.704960,6.196825,15.297919,21.494745,0.263078,compute,1.538612,0.351375
Qwen3-8B,kv_proj,1024,4096,2048,114.942083,122.346312,1.064417,compute,108.165121,12.393651,30.595838,42.989489,0.397443,compute,0.941040,0.351375
Qwen3-8B,o_proj,1,4096,4096,23.500800,39.181625,1.667246,mem,18.911680,,10.421662,10.421662,0.551070,fused-mem,0.804725,0.265983
Qwen3-8B,o_proj,8,4096,4096,14.664320,39.315481,2.681030,mem,47.721601,0.096825,10.498151,10.594977,0.222016,mem,3.254266,0.269486
Qwen3-8B,o_proj,128,4096,4096,30.904319,41.610159,1.346419,mem,63.158722,1.549206,11.932325,13.481531,0.213455,mem,2.043686,0.323996
Qwen3-8B,o_proj,512,4096,4096,113.991680,122.346312,1.073292,compute,103.395519,6.196825,30.595838,36.792664,0.355844,compute,0.907044,0.300726
Qwen3-8B,o_proj,1024,4096,4096,212.908802,244.692625,1.149284,compute,191.793594,12.393651,61.191677,73.585327,0.383669,compute,0.900825,0.300726
Qwen3-8B,gate_up_proj,1,4096,24576,212.490234,235.041942,1.106131,mem,95.467520,,62.482166,62.482166,0.654486,fused-mem,0.449280,0.265834
Qwen3-8B,gate_up_proj,8,4096,24576,221.345596,235.510439,1.063994,mem,66.611199,0.096825,62.893296,62.990121,0.945639,mem,0.300938,0.267462
Qwen3-8B,gate_up_proj,128,4096,24576,263.712311,243.541811,0.923513,mem,182.167358,1.549206,70.064164,71.613371,0.393119,mem,0.690781,0.294050
Qwen3-8B,gate_up_proj,512,4096,24576,750.817261,734.077874,0.977705,compute,527.626228,6.196825,183.575030,189.771855,0.359671,compute,0.702736,0.258517
Qwen3-8B,gate_up_proj,1024,4096,24576,1363.167114,1468.155749,1.077018,compute,1023.322525,12.393651,367.150060,379.543711,0.370894,compute,0.750695,0.258517
Qwen3-8B,down_proj,1,12288,4096,109.698563,117.525752,1.071352,mem,53.975039,,31.245864,31.245864,0.578895,fused-mem,0.492030,0.265864
Qwen3-8B,down_proj,8,12288,4096,118.302717,117.793464,0.995695,mem,142.233601,0.290439,31.341475,31.631914,0.222394,mem,1.202285,0.268537
Qwen3-8B,down_proj,128,12288,4096,133.836803,122.382820,0.914418,mem,194.435196,4.647021,33.349318,37.996340,0.195419,mem,1.452778,0.310471
Qwen3-8B,down_proj,512,12288,4096,359.485435,367.038937,1.021012,compute,304.106560,18.588086,91.787515,110.375601,0.362950,compute,0.845950,0.300719
Qwen3-8B,down_proj,1024,12288,4096,715.366364,734.077874,1.026157,compute,563.740807,37.176172,183.575030,220.751202,0.391583,compute,0.788045,0.300719
